University name,Rank as 2018,course Url,Latitude,Longitude,Address,latlong,Nearest Restuarant,lat(Restuarant),lng(Restuarant),address(Restuarant),Nearest airport,lat(Airport),lng(Airport),Address(Airport),Nearest Gas station,lat(Gas station),lng(Gas Station),Address(Gas Station)
Massachusetts Institute of Technology (MIT),1,https://engineering.mit.edu/,42.360091,-71.09416,"77 Massachusetts Ave, Cambridge, MA 02139, USA","42.360091,-71.09416",Za Cambridge,42.3635078,-71.0834699,"350 Third St, Cambridge, MA 02142, USA",Boston Logan International Airport,42.365613200000006,-71.00956020000001,"1 Harborside Dr, Boston, MA 02128, USA",Sunoco Gas Station,42.361814100000004,-71.0979627,"266 Massachusetts Ave, Cambridge, MA 02139, USA"
Stanford University,2,https://www.stanford.edu/academics/,37.4274745,-122.169719,"450 Serra Mall, Stanford, CA 94305, USA","37.4274745,-122.169719",Panda Express,37.4245011,-122.1711311,"459 Lagunita Dr, Stanford, CA 94305, USA",Palo Alto Airport,37.4549654,-122.1107825,"1925 Embarcadero Rd, Palo Alto, CA 94303, USA",Valero,37.4281254,-122.1492548,"1963 El Camino Real, Palo Alto, CA 94306, USA"
Harvard University,3,https://www.harvard.edu/,42.3770029,-71.11666009999998,"Cambridge, MA 02138, USA","42.3770029,-71.11666009999998",Toscano,42.3743001,-71.1219776,"52 Brattle St, Cambridge, MA 02138, USA",Boston Logan International Airport,42.365613200000006,-71.00956020000001,"1 Harborside Dr, Boston, MA 02128, USA",Cumberland Farms,42.385863799999996,-71.1139266,"701 Somerville Ave, Somerville, MA 02143, USA"
California Institute of Technology (Caltech),4,http://www.cms.caltech.edu/academics/grad_cms,34.1376576,-118.125269,"1200 E California Blvd, Pasadena, CA 91125, USA","34.1376576,-118.12526899999999",Green Street Restaurant,34.143229999999996,-118.13116399999998,"146 Shoppers Ln, Pasadena, CA 91101, USA",El Monte Airport,34.0848443,-118.03301200000001,"4233 Santa Anita Ave, El Monte, CA 91731, USA",76,34.1481257,-118.13191090000002,"122 N Lake Ave, Pasadena, CA 91101, USA"
University of Cambridge,5,https://www.graduate.study.cam.ac.uk/international-students,52.2042666,0.1149085,"The Old Schools, Trinity Ln, Cambridge CB2 1TN, UK","52.204266600000004,0.1149085",Galleria Restaurant Cambridge,52.209740999999994,0.11664100000000001,"33 Bridge St, Cambridge CB2 1UW, UK",London Stansted Airport,51.8860181,0.2388661,"Bassingbourn Rd, Stansted CM24 1QW, UK",Shell,52.198622799999995,0.1125704,"Newnham Road, Cambridge CB3 9EY, United Kingdom"
University of Oxford,6,http://www.ox.ac.uk/,51.7548164,-1.2543668,"Oxford OX1 2JD, UK","51.754816399999996,-1.2543668",Quod Restaurant & Bar,51.752475,-1.253142,"92-94 High St, Oxford OX1 4BJ, UK",Heathrow Airport,51.4700223,-0.4542955,"Longford, UK",BP,51.7886882,-1.2820738,"Woodstock Rd, Oxford OX2 8LA, UK"
UCL (University College London),7,https://www.ucl.ac.uk/,51.52455920000001,-0.1340401,"Gower St, Bloomsbury, London WC1E 6BT, UK","51.52455920000001,-0.1340401",Leon,51.5279092,-0.13316779999999998,"16-18 Euston Street, London NW1 1DU, Euston St, London NW1 1DU, United Kingdom",London City Airport,51.5048437,0.049518,"Hartmann Rd, London E16 2PX, UK",Texaco,51.537941700000005,-0.1167753,"219 Caledonian Rd, London N1 0SL, UK"
Imperial College London,8,https://www.imperial.ac.uk/engineering/,51.498799700000006,-0.1748772,"Kensington, London SW7 2AZ, UK","51.498799700000006,-0.1748772",Ognisko Restaurant,51.4990721,-0.17405120000000002,"55 Exhibition Rd, Knightsbridge, London SW7 2PN, UK",Heathrow Airport,51.4700223,-0.4542955,"Longford, UK",Gulf,51.492487,-0.166697,"85 Sloane Ave, Chelsea, London SW3 3DX, UK"
University of Chicago,9,http://collegeadmissions.uchicago.edu/?,41.7886079,-87.59871329999999,"5801 S Ellis Ave, Chicago, IL 60637, USA","41.788607899999995,-87.59871329999999",Daley's Restaurant,41.7802142,-87.605501,"809 E 63rd St, Chicago, IL 60637, USA",Chicago Midway International Airport,41.786775899999995,-87.75218840000001,"5700 S Cicero Ave, Chicago, IL 60638, USA",BP,41.8013309,-87.58799870000001,"5130 S Lake Park Ave, Chicago, IL 60615, USA"
ETH Zurich - Swiss Federal Institute of Technology,10,https://www.ethz.ch/en.html,47.376313,8.547669899999999,"Rämistrasse 101, 8092 Zürich, Switzerland","47.376313,8.547669899999999",Haus zum Rüden,47.3708869,8.5430974,"Limmatquai 42, 8001 Zürich, Switzerland",Zurich Airport,47.4582165,8.5554755,"8058 Zürich-Flughafen, Switzerland",Migrol Service,47.385891,8.532064300000002,"Sihlquai 155, 8005 Zürich, Switzerland"
"Nanyang Technological University, Singapore (NTU)",11,http://www.ntu.edu.sg/,1.3483098999999998,103.6831347,"50 Nanyang Ave, Singapore 639798","1.3483098999999998,103.68313470000001",Nanyang Fu Du Seafood Restaurant,1.3420748,103.69170770000001,"962 Jurong West Street 91, Singapore 640962",Changi Airport Singapore,1.3644201999999999,103.99153079999999,"Airport Blvd, Singapore",Caltex Jurong West,1.3386498,103.6927723,"21 Jurong West Street 93, Singapore 648964"
Ecole Polytechnique Fédérale de Lausanne (EPFL),12,https://www.phdportal.com/universities/428/ecole-polytechnique-fadarale-de-lausanne.html,46.5190557,6.5667576,"Route Cantonale, 1015 Lausanne, Switzerland","46.5190557,6.5667576",La Table de Vallotton by Shangri La,46.5179241,6.568687700000001,"Rolex Learning Center, 1015 Ecublens, Switzerland",Airport Lausanne,46.5445376,6.617074900000001,"Avenue du Grey 117, 1018 Lausanne, Switzerland",BP,46.5150804,6.5608056,"Route Cantonale 55, 1025 Saint-Sulpice, Switzerland"
Cornell University,14,http://www.cornell.edu/academics/colleges.cfm,42.4534492,-76.4735027,"Ithaca, NY 14850, USA","42.4534492,-76.4735027",Taverna Banfi,42.4464908,-76.4822262,"130 Statler Dr, Ithaca, NY 14853, USA",Ithaca Tompkins Regional Airport,42.4910812,-76.4584974,"1 Culligan Dr, Ithaca, NY 14850, USA",Sunoco Gas Station,42.438395,-76.4993559,"210 S Cayuga St, Ithaca, NY 14850, USA"
National University of Singapore (NUS),15,http://www.nus.edu.sg/,1.2966426000000002,103.7763939,"21 Lower Kent Ridge Rd, Singapore 119077","1.2966426000000002,103.7763939",Al amaan Restaurant,1.2927526000000003,103.76849870000001,"12 Clementi Rd, Singapore 129742",Changi Airport Singapore,1.3644201999999999,103.99153079999999,"Airport Blvd, Singapore",Shell,1.2892091,103.777835,"328 Pasir Panjang Rd, Singapore 118654"
Yale University,16,https://www.yale.edu/academics/graduate-professional-study,41.3163244,-72.92234309999998,"New Haven, CT 06520, USA","41.3163244,-72.92234309999998",Christopher Martins Restaurant,41.313654,-72.913184,"860 State St, New Haven, CT 06511, USA",Tweed New Haven Airport,41.2678919,-72.88687270000001,"155 Burr St, New Haven, CT 06512, USA",Sunoco Gas station,41.3140315,-72.912785,"884 State St, New Haven, CT 06511, USA"
Johns Hopkins University,17,http://anthropology.jhu.edu/,39.3299013,-76.62051770000002,"Baltimore, MD 21218, USA","39.329901299999996,-76.62051770000001",R. House,39.3217364,-76.6223045,"301 W 29th St, Baltimore, MD 21211, USA",Baltimore/Washington International Thurgood Marshall Airport,39.177404200000005,-76.6683922,"Baltimore, MD 21240, USA",BP,39.3286727,-76.6089196,"500 E 33rd St, Baltimore, MD 21218, USA"
Columbia University,18,http://www8.gsb.columbia.edu/programs/mba,40.8075355,-73.96257270000002,"116th St & Broadway, New York, NY 10027, USA","40.8075355,-73.96257270000001",Melba's,40.803102,-73.95656579999999,"300 W 114th St, New York, NY 10026, USA",LaGuardia Airport,40.7769271,-73.87396590000002,"Queens, NY 11371, USA",BP,40.8075435,-73.9375886,"1890 Park Ave, New York, NY 10035, USA"
University of Pennsylvania,19,https://www.upenn.edu/researchdir,39.9522188,-75.1932137,"Philadelphia, PA 19104, USA","39.9522188,-75.1932137",White Dog Cafe,39.953548100000006,-75.1929486,"3420 Sansom St, Philadelphia, PA 19104, USA",Philadelphia International Airport,39.874395899999996,-75.24242290000001,"8000 Essington Ave, Philadelphia, PA 19153, USA",Sunoco Gas Station,39.9512669,-75.1775628,"2201 Walnut St, Philadelphia, PA 19103, USA"
The Australian National University,20,http://www.anu.edu.au/,-35.2776999,149.118527,"Canberra ACT 0200, Australia","-35.2776999,149.118527",Bicicletta Restaurant,-35.284643700000004,149.12383119999998,"1/15 Edinburgh Ave, Canberra ACT 2601, Australia",Canberra Airport,-35.305232700000005,149.19339340000002,"Terminal Circuit, Australian Capital Territory 2609, Australia",BP,-35.2758665,149.1326861,"2 Lonsdale St, Braddon ACT 2612, Australia"
University of Michigan,21,https://pharmacy.umich.edu/,42.2780436,-83.7382241,"500 S State St, Ann Arbor, MI 48109, USA","42.2780436,-83.7382241",Logan Restaurant,42.280239,-83.749347,"115 W Washington St, Ann Arbor, MI 48104, USA",Ann Arbor Municipal Airport,42.2251956,-83.7456555,"801 Airport Dr, Ann Arbor, MI 48108, USA",BP,42.2834317,-83.7481632,"300 N Main St, Ann Arbor, MI 48104, USA"
Duke University,22,https://www.duke.edu/,36.0014258,-78.9382286,"Durham, NC 27708, USA","36.0014258,-78.9382286",Enzo's Pizza Co.,36.0091855,-78.9447488,"2608 Erwin Rd # 140, Durham, NC 27705, USA",Raleigh-Durham International Airport,35.880078999999995,-78.7879963,"2400 John Brantley Blvd, Morrisville, NC 27560, USA",BP,36.009130799999994,-78.9422877,"2432 Erwin Rd, Durham, NC 27705, USA"
The University of Edinburgh,23,https://www.ed.ac.uk/studying,55.94451579999999,-3.1892412999999995,"Old College, South Bridge, Edinburgh EH8 9YL, UK","55.94451579999999,-3.1892412999999995",Howies Restaurant,55.94876239999999,-3.1934139,"10-14 Victoria St, Edinburgh EH1 2HG, UK",Edinburgh Airport,55.950784999999996,-3.3614532,"Edinburgh EH12 9DN, UK",BP,55.9399202,-3.2040107000000004,"Barclay Pl, Edinburgh EH10 4DG, UK"
King's College London,24,https://www.kcl.ac.uk/study/learningteaching/ctel/Index.aspx,51.5114864,-0.115997,"Strand, London WC2R 2LS, UK","51.5114864,-0.115997",Rules Restaurant,51.5107984,-0.12316289999999999,"34-35 Maiden Ln, London WC2E 7LB, UK",London City Airport,51.5048437,0.049518,"Hartmann Rd, London E16 2PX, UK",BP,51.494417600000006,-0.0909123,"197-211 New Kent Rd, London SE1 4AG, UK"
Tsinghua University,25,http://www.tsinghua.edu.cn/publish/newthuen/,39.9996674,116.3264439,"30 Shuangqing Rd, Haidian Qu, Beijing Shi, China","39.9996674,116.3264439",Isshin Japanese Restaurant,39.993995,116.336505,"Chengfu Rd, WuDaoKou, Haidian Qu, Beijing Shi, China, 100083",Beijing Capital International Airport,40.0798573,116.6031121,"Shunyi, Beijing, China",中石化加油站,39.9910777,116.3326017,"21 Zhongguancun E Rd, WuDaoKou, Haidian Qu, Beijing Shi, China, 100083"
The University of Hong Kong,26,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong,22.2829989,114.1370848,"Pok Fu Lam, Hong Kong","22.282998899999996,114.1370848",PizzaExpress Sai Ying Pun,22.287416,114.14487450000001,"No. 3, 5-6, 189, Queen's Rd W, Sai Ying Pun, Hong Kong",Hong Kong International Airport,22.308047,113.9184808,"1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",PetroChina,22.281665300000004,114.1324987,"Sandy Bay Gap, Hong Kong"
"University of California, Berkeley (UCB)",27,https://www.berkeley.edu/,37.8718992,-122.2585399,"Berkeley, CA, USA","37.8718992,-122.2585399",La Note Restaurant,37.866206,-122.26724899999999,"2377 Shattuck Ave, Berkeley, CA 94704, USA",Oakland International Airport,37.7125689,-122.2197428,"1 Airport Dr, Oakland, CA 94621, USA",Valero,37.8712314,-122.2732872,"1894 University Ave, Berkeley, CA 94703, USA"
The University of Tokyo,28,https://misk.org.sa/fellowship/services/the-university-of-tokyo/,35.71267750000001,139.761989,"7 Chome-3-1 Hongo, Bunkyō, Tokyo 113-8654, Japan","35.712677500000005,139.761989",TGI Fridays,35.704299299999995,139.7522303,"Japan, 〒112-0004 Tokyo, Bunkyō, Koraku, 1 Chome−3−61",Haneda Airport,35.549393200000004,139.7798386,"Japan, 〒144-0041 Tokyo, Ōta, Hanedakuko",Idemitsu Hongo Service Station,35.719541,139.754525,"Japan, 〒113-0023 Tokyo, 文京区向丘１丁目７−１１"
Northwestern University,29,https://www.northwestern.edu/,42.0564594,-87.67526699999998,"633 Clark St, Evanston, IL 60208, USA","42.0564594,-87.67526699999998",Le Peep,42.048633200000005,-87.68310059999999,"827 Church St, Evanston, IL 60201, USA",O'Hare International Airport,41.9741625,-87.9073214,"10000 W O'Hare Ave, Chicago, IL 60666, USA","Evanston CITGO, Gas/Diesel/C-Store",42.0535196,-87.6897341,"1925 Green Bay Rd, Evanston, IL 60201, USA"
The Hong Kong University of Science and Technology,30,https://www.edx.org/school/hkustx,22.3363998,114.2654655,"Clear Water Bay, Hong Kong","22.336399800000002,114.2654655",HKUST Restaurant,22.336812,114.263447,"G/F & 1/F, HKUST, Sai Kung, Hong Kong",Hong Kong International Airport,22.308047,113.9184808,"1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",Esso,22.327509,114.25436,"21 Po Lam Rd N, Tseung Kwan O, Hong Kong"
University of Toronto,31,https://www.utoronto.ca/,43.6628917,-79.39565640000002,"27 King's College Cir, Toronto, ON M5S 3H7, Canada","43.6628917,-79.39565640000002",Matisse Restaurant & Bar,43.670921500000006,-79.38506120000001,"90 Bloor St E, Toronto, ON M4W 1A7, Canada",Billy Bishop Toronto City Airport,43.6284819,-79.39595770000001,"2 Eireann Quay, Toronto, ON M5V 1A1, Canada",Esso,43.656817,-79.37696899999999,"241 Church St, Toronto, ON M5B 1Z4, Canada"
McGill University,32,http://www.mcgill.ca/faculties/,45.50478469999999,-73.5771511,"845 Rue Sherbrooke O, Montréal, QC H3A 0G4, Canada","45.50478469999999,-73.5771511",Restaurant Europea,45.497755600000005,-73.5742517,"1227 Mountain St, Montreal, QC H3G 1Z2, Canada",Montréal-Pierre Elliott Trudeau International Airport,45.4656851,-73.7454814,"Quebec, Canada",Esso,45.4957989,-73.5712055,"1030 Mountain St, Montreal, QC H3G 1Y7, Canada"
"University of California, Los Angeles (UCLA)",33,http://web.cs.ucla.edu/~thuyvu/,34.068921,-118.4451811,"Los Angeles, CA 90095, USA","34.068921,-118.4451811",BJ's Restaurant & Brewhouse,34.0629112,-118.4472063,"939 Broxton Ave, Los Angeles, CA 90024, USA",Los Angeles International Airport,33.9415889,-118.40853,"1 World Way, Los Angeles, CA 90045, USA",Chevron,34.063350899999996,-118.4485621,"10984 Le Conte Ave, Los Angeles, CA 90024, USA"
The University of Manchester,34,http://www.manchester.ac.uk/study/postgraduate-research/,53.46684980000001,-2.2338837,"Oxford Rd, Manchester M13 9PL, UK","53.466849800000006,-2.2338837000000002",Seoul Kimchi Restaurant,53.4607095,-2.2215166,"275 Upper Brook St, Manchester M13 0HR, UK",Manchester Airport,53.358802600000004,-2.2727303,"Manchester M90 1QX, UK",Esso,53.47047560000001,-2.2235723999999997,"Ardwick Green, Ardwick M13 9XF, United Kingdom"
London School of Economics and Political Science (LSE),35,http://www.lse.ac.uk/,51.51440770000001,-0.1173766,"Houghton St, London WC2A 2AE, UK","51.51440770000001,-0.11737660000000001",Rules Restaurant,51.5107984,-0.12316289999999999,"34-35 Maiden Ln, London WC2E 7LB, UK",London City Airport,51.5048437,0.049518,"Hartmann Rd, London E16 2PX, UK",BP,51.494417600000006,-0.0909123,"197-211 New Kent Rd, London SE1 4AG, UK"
Kyoto University,36,https://www.kyoto-u.ac.jp/en/,35.0262444,135.7808218,"Yoshidahonmachi, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan","35.026244399999996,135.7808218",樂膳柿沼 Kakinuma Japanese Restaurant,35.01761079999999,135.7773647,"Japan, 〒606-8395 Kyoto Prefecture, Kyoto, Sakyo Ward, Higashimarutacho, 46-3",Osaka International Airport,34.7895799,135.4380895,"Japan, 〒560-0036 Osaka Prefecture, Toyonaka, Hotarugaike Nishimachi, 3 Chome−555",Shimogamo Filling Station,35.0339203,135.7709685,"Japan, 〒606-0801 Kyoto Prefecture, Kyoto, Sakyo Ward, Shimogamo Miyagawacho, ３６−3"
Seoul National University,37,http://www.useoul.edu/organization/chart,37.459882,126.9519053,"1 Gwanak-ro, Gwanak-gu, Seoul, South Korea","37.459882,126.9519053",The Melting Pot,37.4783172,126.9560743,"1613-4 Bongcheon-dong, Gwanak-gu, Seoul, South Korea",Gimpo International Airport,37.558654499999996,126.7944739,"112 Haneul-gil, Gangseo-gu, Seoul, South Korea",S-OIL,37.473712,126.9348375,"112-47 Sillim-dong, Gwanak-gu, Seoul, South Korea"
"University of California, San Diego (UCSD)",38,https://ucsd.edu/,32.8800604,-117.2340135,"9500 Gilman Dr, La Jolla, CA 92093, USA","32.8800604,-117.2340135",Rock Bottom Restaurant & Brewery,32.871188000000004,-117.23424579999998,"8980 La Jolla Village Dr, La Jolla, CA 92037, United States",San Diego International Airport,32.7338006,-117.1933038,"3225 N Harbor Dr, San Diego, CA 92101, USA",Mobil Gas Station,32.871206300000004,-117.2334346,"3233 La Jolla Village Dr, La Jolla, CA 92037, USA"
Peking University,39,http://www.isd.pku.edu.cn/html/english/,39.986913,116.3058739,"5 Yiheyuan Rd, Haidian Qu, Beijing Shi, China, 100080","39.986913,116.30587390000001",The Middle-8th Restaurant,39.979984,116.313925,"Zhongguancun, Haidian, China, 100080",Beijing Capital International Airport,40.0798573,116.6031121,"Shunyi, Beijing, China",北京市北达加油站,39.986359,116.309096,"China, Beijing, Haidian, 海淀路5号（北京大学校内14区）"
Fudan University,40,http://www.fudan.edu.cn/en/channels/view/34/,31.2974197,121.5036178,"220 Handan Rd, WuJiaoChang, Yangpu Qu, Shanghai Shi, China, 200433","31.2974197,121.5036178",Pizza Inn,31.289354,121.50563999999999,"China, Shanghai, Yangpu, 国权后路5号",Shanghai Pudong International Airport,31.144343900000003,121.808273,"S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",武川路加油站,31.300590999999997,121.493757,"China, Shanghai, Yangpu, 武川路50号,纪念路与武川路路口北侧路东,沿武川路方向"
KAIST - Korea Advanced Institute of Science & Technology,41,http://www.kaist.edu/,36.369392100000006,127.3640249,"291 Daehak-ro, Guseong-dong, Yuseong-gu, Daejeon, South Korea","36.369392100000006,127.3640249",Popeyes Chicken CNU,36.3728775,127.3463605,"89-5 Gung-dong, Yuseong-gu, Daejeon, South Korea",Incheon International Airport,37.4601908,126.44069569999999,"272 Gonghang-ro, Jung-gu, Incheon, South Korea",중도석유대덕주유소,36.362049299999995,127.37765870000001,"255 Wolpyeong 2(i)-dong, Seo-gu, Daejeon, South Korea"
The University of Melbourne,42,http://chemeng.unimelb.edu.au/,-37.7963689,144.9611738,"Parkville VIC 3010, Australia","-37.796368900000004,144.9611738",iL Cantuccio Restaurant,-37.8004451,144.9668378,"209 Lygon St, Carlton VIC 3053, Australia",Melbourne Airport,-37.6690123,144.8410273,"Departure Dr, Melbourne Airport VIC 3045, Australia",BP,-37.797717799999994,144.97075769999998,"117 Elgin St, Carlton VIC 3053, Australia"
"Ecole normale supérieure, Paris",43,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,48.8422058,2.3451689,"45 Rue d'Ulm, 75005 Paris, France","48.842205799999995,2.3451689",Desvouges,48.8391279,2.355988,"6 Rue des Fossés Saint-Marcel, 75005 Paris, France",Orly Airport,48.72624329999999,2.3652472,"94390 Orly, France",GLC Carburant,48.8436756,2.3421021,"40 Rue Gay-Lussac, 75005 Paris, France"
University of Bristol,44,http://www.bristol.ac.uk/international/,51.4584172,-2.6029792,"Senate House, Tyndall Ave, Bristol BS8 1TH, UK","51.4584172,-2.6029792",Catch22 Restaurant,51.452409,-2.599368,"38 College Green, Bristol BS1 5SP, UK",Bristol Airport,51.3836304,-2.7135463,"Bristol BS48 3DY, UK",Texaco,51.466077399999996,-2.6071892999999995,"190 Hampton Rd, Bristol BS6 6JA, UK"
